TITULO_ORIGINAL;PRODUTORA_BRASILEIRA;UF_PRODUTORA_BRASILEIRA;PRODUTORA_ESTRANGEIRA;PAIS_PRODUTORA_ESTRANGEIRA;TIPO_OBRA;TOTAL_TECNCIOS_ESTRANGEIROS;PERIODO_PRODUCAO;LOCAL_FILMAGEM ;DT_APROVACAO
Photographer e Street Dance;Ocean Producao de Filmes Ltda;SC;Caviar Paris;França;Obra Publicitária;1;10/03/2020 a 30/03/2020;São Paulo (SP) e Foz do Iguaçu (PR);CANCELADO A PEDIDO DO PROPONENTE
Planeta Sobrenatural;Cristian Dimitrius Produções Ltda.;SP;Plimsoll Productions Ltd;Reino Unido;Documentário;;15/06/2020 a 25/06/2020;Laguna (SC);08/06/2020
Green Seven Report: Der Wald Brennt;Mundo Cão;RJ;Strandgutmedia;Alemanha;Documentário;;27/07/2020 a 30/07/2020;Novo Progresso;CANCELADO: Empresa Irregular
Green Seven Report: Der Waldbrand;REBULIÇO AGÊNCIA CULTURAL LTDA;RJ;strandgutmedia GmbH;Alemanha ;Documentário;;22/07/2020 a 02/08/2020;Novo Progresso (PA);16/07/2020
A Educação da Vovó;Beleza Nation Conteúdo e Filmes Ltda.;SP;Cineflex Srls;Itália;Ficção;1;21/10/2020 a 08/03/2021;Cachoeira (BA);12/09/2020
 Unknown Amazon;Amazon Film Productions;AM;CDI Virtual Films INC;Estados Unidos;Documentário;2;19/09/2020 a 01/08/2020;Manaus, Tefé, Santarém, Itaituba e Jacarangá (AM, PA);16/09/2020
The Truth About Coronavirus;VIVA FILMES LTDA. ;RJ;Hardcash Productions;Reino Unido;Documentário;2;27/09/2020 a 30/09/2020;Rio de Janeiro (RJ);23/09/2020
Titan;Cristian Dimitrius Produções LTDA.;SP;Titan Productions Ltd;Reino Unido;Documentário;;04/11/2020 a 08/11/2020;Aquidauana (MS);08/10/2020
Supernatural Planet - parte 2;Cristian Dimitrius Producões;SP;Plimsoll Productions Ltd;Reino Unido;Documentário;3;20/11/2020 a 09/12/2020;São Francisco de Guapore (RO);10/11/2020
Last of the Giants;Amazon FIlm Productions;AM;CDI Virtual Films INC;Estados Unidos;Documentário;4;12/11/2020 a 21/12/2020;Manaus e Jatapu (AM);11/11/2020
Animal;Vixe Maria Produções Culturais;SP;Plimsoll Productions;Reino Unido;Documentário;1;19/11/2020 a 19/12/2020;Fernando de Noronha (PE);12/11/2020
FOGO DE CHAO – Campaign 2021;UARTETO EVENTOS E PRODUÇÕES EIRELI;RJ;Jojx LLC;Estados Unidos;Obra Publicitária;2;27/11/2020 a 04/12/2020;São Paulo (SP);16/11/2020
Discover True Richness;Stink SP Produção de Filmes Ltda;SP;Stink Hong Kong Limited;China;Obra Publicitária;;18/11/2020 a 19/11/2020;São Paulo (SP);19/11/2020
Bitte Melde Dic;Aura Filme Produções Ltda;RJ;Endemol Shine Germany GmbH;Alemanha;Outro;4;09/12/2020 a 14/12/2020;Recife, Olinda, Sairé (PE);30/12/2020
Unknown Amazon;Amazon FIlm Productions;AM;CDI Virtual Films INC;Estados Unidos;Documentário;2;08/01/2021 a 06/02/2021;Manaus (AM), Creporizão (PA), Marechal Thaumaturgo (AC);07/12/2020
