CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0700688200000  ;O MISTÉRIO DA ESTRADA DE SINTRA                                                                     ;059002           
B0700689500000  ;7 X BOSSA NOVA                                                                                      ;040219           
B0700691000000  ;O LONGO AMANHECER - CINEBIOGRAFIA DE CELSO FURTADO                                                  ;030202           
B0700691900000  ;CIDADE DOS HOMENS                                                                                   ;050127           
B0700692800000  ;O PASSADO                                                                                           ;050211           
B0700696000000  ;SANEAMENTO BÁSICO, O FILME                                                                          ;050107           
B0700701100000  ;O QUADRADO DE JOANA                                                                                 ;050362           
B0700701800000  ;A ILHA DA MORTE                                                                                     ;012081           
B0700714700000  ;PRIMO BASÍLIO                                                                                       ;060143           
B0700714700000  ;PRIMO BASÍLIO                                                                                       ;060280           
B0700719300000  ;MULHERES SEXO VERDADES E MENTIRAS                                                                   ;060069           
B0700721300000  ;MUTUM                                                                                               ;060197           
B0700721300000  ;MUTUM                                                                                               ;079043           
B0700721300000  ;MUTUM                                                                                               ;040120           
B0700722200000  ;A CASA DE ALICE                                                                                     ;030338           
B0700724300000  ;CAMINHO DOS SONHOS                                                                                  ;962425           
B0700727000000  ;O TABLADO E MARIA CLARA MACHADO                                                                     ;100066           
B0700735100000  ;HERÓIS DA LIBERDADE                                                                                 ;000412           
B0700746500000  ;A VIA LÁCTEA                                                                                        ;040290           
B0700748600000  ;O HOMEM QUE DESAFIOU O DIABO                                                                        ;030103           
B0700749900000  ;ROMANCE DO VAQUEIRO VOADOR                                                                          ;050229           
B0700752700000  ;DOT.COM                                                                                             ;049001           
B0700752900000  ;GRUPO CORPO 30 ANOS - UMA FAMÍLIA BRASILEIRA                                                        ;040107           
B0700757200000  ;ZIRALDO O ETERNO MENINO MALUQUINHO                                                                  ;050156           
B0700758700000  ;JOGO DE CENA                                                                                        ;060073           
B0700758700000  ;JOGO DE CENA                                                                                        ;069030           
