NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,ASSENTOS_SALA,NOME_COMPLEXO,REGISTRO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,GRUPO_EXIBIDOR
CINEMARK VILA VELHA SALA 05,5005221,00.779.721/0072-35,EM FUNCIONAMENTO,198,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 06,5005222,00.779.721/0072-35,EM FUNCIONAMENTO,198,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 07,5005223,00.779.721/0072-35,EM FUNCIONAMENTO,198,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VILA VELHA SALA 08,5005224,00.779.721/0072-35,EM FUNCIONAMENTO,273,2117 CINEMARK VILA VELHA,30577,SEM INFORMAÇÃO,RUA LUCIANO DAS NEVES,2418,PV. L2;LUC 2046,DIVINO ESPÍRITO SANTO,VILA VELHA,29107-900,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 01,5002080,00.779.721/0040-58,EM FUNCIONAMENTO,172,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 02,5002078,00.779.721/0040-58,EM FUNCIONAMENTO,235,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 03,5002082,00.779.721/0040-58,EM FUNCIONAMENTO,284,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 04,5002084,00.779.721/0040-58,EM FUNCIONAMENTO,313,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 05,5002081,00.779.721/0040-58,EM FUNCIONAMENTO,157,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
CINEMARK VITÓRIA 06,5002079,00.779.721/0040-58,EM FUNCIONAMENTO,153,702 CINEMARK VITORIA,12975,WWW.CINEMARK.COM.BR,AV. AMÉRICO BUAIZ ,200,LOJA A 15,ENSEADA DO SUÁ,VITÓRIA,29050-902,ES,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
