,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
139,42163,HEMERSON SALVADOR,SALVADOR AGENCIA DE PUBLICIDADE LTDA
140,2921,CINEMATOGRÁFICA JARAGUÁ LTDA,MAXI CINEMATOGRÁFICA LTDA
141,12489,VIA SUL CINEMATOGRÁFICA LTDA,CINEMATOGRÁFICA GUARAPARI LTDA
142,47950,UTLD PRODUCAO DE FIMES LTDA,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME
143,49790,ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA,VL VATICANO COMERCIAL FOTO STUDIO LTDA
144,18295,BRADDOCK PRODUÇÃO CINEMATOGRÁFICA LTDA,STUDIO WILD LTDA - ME
145,21986,ASSOCIAÇÃO DE MÍDIAS AUDIOVISUAL E CINEMA DO AMAZONAS - AMACINE,J J R PINHEIRO PRODUTORA DE FILMES EIRELI
146,5450,BEL BERLINCK PRODUÇÕES CINEMATOGRÁFICAS LTDA,O2 CINEMA LTDA
147,63,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2 CINEMA LTDA
148,17628,C.A.V. LEMOS,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA
149,47830,MOBI CINE GURUPI LTDA,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA
150,19465,CINE LASER CINEMAS EIRELI,CINE LASER CINEMAS NORDESTE LTDA
151,18301,KRAÔ PRODUTORA E EVENTOS LTDA,QUATTRO PRODUCOES LTDA - ME
152,40225,NOLITA ENTRETENIMENTO E PRODUÇÕES LTDA,LONDRES PRODUÇÕES EIRELI ME
153,41882,AN PRODUÇÕES CULTURAIS,DAC AUDIOVISUAL LTDA
154,23765,MIOLO FRITOS PRODUCOES CINEMATOGRAFICAS LTDA,DB PRODUÇÃO AUDIOVISUAL LTDA
155,13603,RENATA DA SILVA OLIVEIRA EIRELI,"CONTEÚDO SERVIÇOS DE PRODUÇÃO PARA CINEMA, TV E INTERNET LTDA"
156,23971,ACACA STUDIO LTDA. - ME,ACACA PETOPACA STUDIO LTDA
157,30741,EL RENO FITAS CINEMATOGRÁFICAS LTDA,SAMUEL DE O MAROTTA
158,2379,MOVIESYSTEM CINEMATOGRAFICA LTDA,REDECINE SANTOS CINEMATOGRAFICA LTDA
159,24534,REDECINE BSB CINEMATOGRÁFICA LTDA,REDECINE SANTOS CINEMATOGRAFICA LTDA
160,52052,FOGUEIRA FILMES EIRELI,CAMISA LISTRADA BH PRODUCOES AUDIOVISUAIS LTDA
161,19524,SSP PRODUÇÕES LTDA,INCENTIVAR FOMENTO DE PROJETOS LTDA
162,21541,H2O DISTRIBUIDORA DE FILMES LTDA,PLANET CINEMAS CARUARU LTDA
163,12580,FUNDAÇÃO CINEMA RS- FUNDACINE,PANDA FILMES LTDA
164,28561,C A VIEIRA LEMOS E CIA LTDA,LEMOS & MORAIS LTDA - ME
165,42975,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA,LEMOS & MORAIS LTDA - ME
166,264,TIBET FILME LTDA,MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.
167,38210,ALFÂNDEGA FILMES PRODUÇÕES ARTÍSTICAS LTDA,INSTITUTO BRASILEIRO DE AUDIOVISUAL
168,2364,CINEMAS PARIS SEVERIANO RIBEIRO LTDA,UCI RIBEIRO LTDA
169,256,FOX FILM DO BRASIL LTDA,TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA
170,45360,FEVER FILMES PRODUÇÕES LTDA,DIGITAL MUSIC EDITORA & PRODUCOES LTDA - ME
171,38340,BLESSED PROGRAMADORA DE TV EIRELI EPP,C GOMES CARDOSO DISTRIBUIÇÃO CINEMATOGRAFICA
172,23671,MACEDO & MACEDO PRODUÇÃO LTDA - ME,BUTTERFLY FILMES LTDA
173,30460,DEEP BLUE FILMS LTDA ME,TRADE COMUNICACAO LTDA
174,3952,TELEVISAO NAIPI LTDA,SISTEMA MASSA DE TELEVISÃO LTDA
175,52919,FELLAS FILMS PRODUCAO DE FILMES LTDA,FELLAS FILMS LTDA
176,3347,"CASE PROPAGANDA, ARTES E PRODUÇÕES LTDA",AD PRODUÇÕES AVARÉ LTDA ME
177,4729,MALAB PRODUCOES EIRELI,ROTOMUSIC PRODUÇÕES E EVENTOS LTDA
178,33620,RF MIDIA LTDA -ME,PRODUTORA DE CONTEUDO CONTEUDO PLAY LTDA
179,18130,LEBEN 108 PRODUTORA DE FILMES LTDA,JAVALI DO MAR EXPERIMENTACOES ARTISTICAS LTDA. - ME.
180,52141,C & C PRODUCOES E SHOWS LTDA,M&L PRODUÇÕES ARTÍSTICAS LTDA
181,39,TELECINE PROGRAMACAO DE FILMES LTDA,COMERCIAL FONOGRAFICA RGE S/A
182,27496,R2 PRODUTORA LTDA,R2 LIVE E PRODUTORA LTDA
