IDENTIFICACAO_CONTRATO,TITULO_PROJETO,CHAMADA_PUBLICA,ANO_CHAMADA_PUBLICA,CNPJ_PROPONENTE,RAZAO_SOCIAL_PROPONENTE,CNPJ_PRODUTORA,RAZAO_SOCIAL_PRODUTORA,CNPJ_DISTRIBUIDORA_PROGRAMADORA,RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA,DT_PUBLICACAO_CONTRATO_DOU,VL_CONTRATO_DOU,DT_PRIMEIRO_DESEMBOLSO,VL_TOTAL_LIBERADO
DG-01.539,"PLUFT, O FANTASMINHA",PRODAV 06,2015-01-01,72.062.029/0001-09,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,72.062.029/0001-09,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2017-07-26,338524.11,2017-08-07,338524.11
DG-01.525,PRIMAVERA DAS MULHERES,PRODAV 02 - PROJETO DERIVADO,2013-01-01,07.528.463/0001-70,DOCE FURIA PRODUÇÕES ARTÍSTICAS LTDA,07.528.463/0001-70,DOCE FURIA PRODUÇÕES ARTÍSTICAS LTDA,00.811.990/0001-48,GLOBOSAT PROGRAMADORA LTDA (BAIXADA),2017-07-26,450000.0,2017-08-07,450000.0
DG-01.477,QUANDO AS COISAS SE DESMANCHAM,ARRANJOS REGIONAIS,2014-01-01,17.220.694/0001-75,CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME,17.220.694/0001-75,CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,33333.33,2017-08-07,33333.33
DG-01.548,SABÁ ,ARRANJOS REGIONAIS,2014-01-01,19.709.434/0001-93,A. S. C. E SOUZA - PRODUTORA,19.709.434/0001-93,A. S. C. E SOUZA - PRODUTORA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,73620.5,2017-08-07,73620.5
DG-01.429,TERRA BATIDA,PRODAV 05,2015-01-01,14.800.264/0001-34,MANGABA PRODUÇÕES LTDA,14.800.264/0001-34,MANGABA PRODUÇÕES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,70000.0,2017-08-17,70000.0
DG-01.566,TROMBA TREM - O FILME,PRODECINE 01,2015-01-01,09.551.826/0001-13,COPA STUDIO PRODUTORA AUDIOVISUAL LTDA,09.551.826/0001-13,COPA STUDIO PRODUTORA AUDIOVISUAL LTDA,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-07-26,1500000.0,2018-01-25,1500000.0
DG-01.395,UM ROMANCE QUE NINGUÉM LEU,PRODAV 05,2015-01-01,17.612.589/0001-81,URÂNIO PRODUÇÕES ARTÍSTICAS E AUDIOVISUAIS LTDA - ME,17.612.589/0001-81,URÂNIO PRODUÇÕES ARTÍSTICAS E AUDIOVISUAIS LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,100000.0,2017-08-22,100000.0
DG-01.418,VERMELHO INTENSO,PRODAV 05,2015-01-01,03.863.923/0001-65,GATA CINE PRODUÇÕES LTDA,03.863.923/0001-65,GATA CINE PRODUÇÕES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-26,100000.0,2017-08-14,100000.0
DG-01.564,1000 DIAS,PRODAV 06,2014-01-01,13.694.309/0001-70,CLUBSODA PRODUCAO AUDIOVISUAL LTDA M.E.,13.694.309/0001-70,CLUBSODA PRODUCAO AUDIOVISUAL LTDA M.E.,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-08-02,100000.0,2017-08-17,100000.0
DG-01.541,A PELE MORTA,PRODECINE 05,2015-01-01,01.231.528/0001-34,ARAÇÁ AZUL PRODUÇÃO EVENTOS E TURISMO LTDA,01.231.528/0001-34,ARAÇÁ AZUL PRODUÇÃO EVENTOS E TURISMO LTDA,01.231.528/0001-34,ARAÇÁ AZUL PRODUÇÃO EVENTOS E TURISMO LTDA,2017-08-02,2200000.0,2017-08-25,2200000.0
DG-01.573,BELATRIX - 1ª TEMPORADA,PRODAV 01,2013-01-01,00.830.735/0001-42,ORIGEM COMUNICAÇÃO LTDA.,00.830.735/0001-42,ORIGEM COMUNICAÇÃO LTDA.,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-08-02,1288660.0,2017-08-07,1288660.0
DG-01.576,CAUSANDO NA RUA - 2ª TEMPORADA,PRODAV 01,2013-01-01,07.860.494/0001-23,TANGERINA ENTRETENIMENTO LTDA,07.860.494/0001-23,TANGERINA ENTRETENIMENTO LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-08-02,798447.0,2017-08-07,798447.0
DG-01.591,DISFORIA,ARRANJOS REGIONAIS,2014-01-01,12.837.401/0001-80,SOFÁ VERDE FILMES LTDA,12.837.401/0001-80,SOFÁ VERDE FILMES LTDA,18.384.267/0001-95,DANIELA GOUVEIA MENEGOTTO - ME,2017-08-02,300000.0,2017-08-07,300000.0
DG-01.543,EU FICO LOKO,PRODAV 06,2015-01-01,01.473.536/0001-97,"ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA",01.473.536/0001-97,"ANANÃ PRODUÇÕES, EVENTOS E ASSESSORIA DE MARKETING LTDA",08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2017-08-02,495462.0,2017-08-14,495462.0
DG-01.432,EU NÃO GOSTO DE GOSTAR DE VOCÊ,PRODAV 05,2015-01-01,07.912.839/0001-45,IGLU FILMES PRODUÇOES LTDA,07.912.839/0001-45,IGLU FILMES PRODUÇOES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-08-02,70000.0,2017-09-06,70000.0
DG-01.516,M8,PRODAV 06,2014-01-01,10.645.895/0001-75,MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.,10.645.895/0001-75,MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2017-08-02,2191833.77,2017-08-22,2191833.77
DG-01.560,MEU TIO JOSÉ,ARRANJOS REGIONAIS,2015-01-01,00.830.735/0001-42,ORIGEM COMUNICAÇÃO LTDA.,00.830.735/0001-42,ORIGEM COMUNICAÇÃO LTDA.,10.681.698/0001-01,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,2017-08-02,1042033.0,2017-08-07,1042033.0
