,CPB,TITULO_ORIGINAL,NUMERO_FSA
210,B1600041000000  ,BUGIGANGUE NO ESPAÇO                                                                                ,211016700
211,B1600041000000  ,BUGIGANGUE NO ESPAÇO                                                                                ,26
212,B1600043800000  ,TÔ RYCA!                                                                                            ,390
213,B1600058000000  ,TERMINADORES                                                                                        ,71
214,B1600064700000  ,ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL                                                           ,159
215,B1600084300000  ,RIO+BOSSA                                                                                           ,102
216,B1600084700000  ,TERRA PROMETIDA                                                                                     ,102410
217,B1600095100000  ,ZANINE SER DO ARQUITETAR                                                                            ,313
218,B1600100300000  ,O ESCARAVELHO DO DIABO                                                                              ,258
219,B1600107600000  ,EM NOME DA LEI                                                                                      ,356
220,B1600109600000  ,A FRENTE FRIA QUE A CHUVA TRAZ                                                                      ,117027
221,B1600117100000  ,WORK IN PROGRESS  POR DENTRO DO BALÉ DA CIDADE DE SÃO PAULO                                        ,299
222,B1600131200000  ,INCERTEZAS CRÍTICAS                                                                                 ,156
223,B1600137800000  ,A GAROTA DA MOTO                                                                                    ,297
224,B1600142700000  ,AS AVENTURAS DE FUJIWARA MANCHESTER                                                                 ,45
225,B1600193300000  ,IMAGENS DO ESTADO NOVO 1937-45                                                                      ,211020400
226,B1600193400000  ,TÁ NO SANGUE - OS FAGUNDES                                                                          ,401
227,B1600227000000  ,O CASEIRO                                                                                           ,512015
228,B1600241200000  ,MINHA TRIBO                                                                                         ,213019900
229,B1600243000000  ,REDEMOINHO                                                                                          ,41
230,B1600243000000  ,REDEMOINHO                                                                                          ,19
231,B1600245600000  ,ANTES O TEMPO NÃO ACABAVA                                                                           ,452
232,B1600264400000  ,PONTO ZERO                                                                                          ,447
233,B1600264400000  ,PONTO ZERO                                                                                          ,49
234,B1600280000000  ,MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL                                                            ,151
235,B1600287300000  ,DESERTO                                                                                             ,23
236,B1600288400000  ,GODOFREDO                                                                                           ,211021700
237,B1600289200000  ,NA BOCA DO POVO                                                                                     ,211021500
238,B1600305700000  ,UMA LOUCURA DE MULHER                                                                               ,312
239,B1600310200000  ,FUINHA E CAÇAPAVA-PILOTO                                                                            ,130
240,B1600314000000  ,TROMBA TREM - 3ª TEMPORADA                                                                          ,306
241,B1600324600000  ,"BILL, O TOURO                                                                                       ",602
242,B1600326200000  ,ESTA NOITE ENCARNAREI NO TEU CORPINHO - PILOTO                                                      ,233
243,B1600358700000  ,E AÍ... COMEU?                                                                                      ,688
244,B1600358700000  ,E AÍ... COMEU?                                                                                      ,204
245,B1600382200000  ,BRASIL ADENTRO - MÚSICA DE PERNAMBUCO                                                               ,118
246,B1600405900000  ,BR 716                                                                                              ,48
247,B1600408200000  ,O ROUBO DA TAÇA                                                                                     ,346
248,B1600412400000  ,ARTISTAS                                                                                            ,235
249,B1600416100000  ,MÃE SÓ HÁ UMA                                                                                       ,1255
250,B1600420100000  ,IMPRESSÕES DO MUNDO                                                                                 ,374
251,B1600420900000  ,MULHER DO PAI                                                                                       ,298
252,B1600428200000  ,AMOR DE 4                                                                                           ,336
253,B1600439300000  ,A COMÉDIA DIVINA                                                                                    ,5
254,B1600439400000  ,A TERRA VERMELHA                                                                                    ,416
255,B1600467400000  ,UNIDADE BÁSICA                                                                                      ,213010400
256,B1600473500000  ,QUATRO MILAGRES DE UM SANTO LADRÃO                                                                  ,357
257,B1600474200000  ,LUZ & SOMBRA - FOTÓGRAFOS DO CINEMA BRASILEIRO                                                      ,280
258,B1600476300000  ,MÁXIMO & CONFÚCIO                                                                                   ,18
259,B1600477000000  ,"ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS                                     ",162
260,B1600481100000  ,OS CUPINS - SEGUNDA TEMPORADA                                                                       ,93
261,B1600486300000  ,SÉRIE C                                                                                             ,153
262,B1600495300000  ,PRA ONDE CORRE O RIO                                                                                ,419
263,B1600513600000  ,A RAZÃO E A LOUCURA                                                                                 ,42
264,B1600543200000  ,ZICA E OS CAMALEÕES - SEGUNDA TEMPORADA                                                             ,275
265,B1600547800000  ,RIFLE                                                                                               ,496
266,B1600559000000  ,CAUSANDO NA RUA                                                                                     ,425
267,B1600564100000  ,VERMELHO RUSSO                                                                                      ,273
268,B1600564300000  ,LUA EM SAGITÁRIO                                                                                    ,369
269,B1600567900000  ,O SHAOLIN DO SERTÃO                                                                                 ,398
270,B1600582300000  ,TORDESILHAS -1A TEMPORADA                                                                           ,213003200
271,B1600585300000  ,AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA                                                             ,355
272,B1600585400000  ,A GLÓRIA E A GRAÇA                                                                                  ,82
273,B1600604900000  ,"TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA                                                           ",600
274,B1600630700000  ,A FINADA MÃE DA MADAME                                                                              ,694
275,B1600644900000  ,BOYCÓPTERO                                                                                          ,216
276,B1600650300000  ,A SECRETÁRIA DO PRESIDENTE                                                                          ,552
277,B1600651600000  ,"CURUMIM, O HOMEM QUE QUERIA VOAR                                                                    ",857
278,B1600656800000  ,FIM DO MUNDO                                                                                        ,337
279,B1600659200000  ,TERRA PROMETIDA                                                                                     ,102410
280,B1600680100000  ,ELIS                                                                                                ,375
281,B1600690400000  ,O AMOR NO DIVÃ                                                                                      ,1218
282,B1600690600000  ,ERA O HOTEL CAMBRIDGE                                                                               ,326
283,B1600690700000  ,ANGELI THE KILLER                                                                                   ,161
284,B1600698800000  ,NO CAMINHO DO BEM                                                                                   ,330
285,B1600702400000  ,OPÇÃO LAJE                                                                                          ,367
286,B1600702800000  ,GRANDES CENAS                                                                                       ,384
287,B1600708000000  ,FALA COMIGO                                                                                         ,343
288,B1600713500000  ,AS AVENTURAS DE MINUANO KID                                                                         ,333
289,B1600714000000  ,O ÚLTIMO TRAGO                                                                                      ,495
290,B1600714000000  ,O ÚLTIMO TRAGO                                                                                      ,388
291,B1600715300000  ,MISTÉRIOS DE ENTREVER                                                                               ,554
292,B1600718700000  ,UM FILME DE CINEMA                                                                                  ,546
293,B1600725900000  ,MIXADOS                                                                                             ,310
294,B1600726200000  ,CAVALO DE SANTO - O FILME                                                                           ,500
295,B1600726600000  ,OLIMPÍADAS DA RUA                                                                                   ,531
296,B1600729900000  ,"RODA MOINHO, RODA PIÃO, QUERO CULTURA NO MEU PIRÃO                                                  ",458
297,B1600730300000  ,AS CANÇÕES DA MINHA VIDA                                                                            ,353
298,B1600738400000  ,MEU CORPO É POLÍTICO                                                                                ,512
299,B1600738500000  ,OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD                                                       ,802
300,B1600739400000  ,SEM VOLTA                                                                                           ,440
301,B1600739700000  ,CHÃO DE FÁBRICA                                                                                     ,364
302,B1600746900000  ,MÚSICA DA MINHA VIDA                                                                                ,472
303,B1600752300000  ,BEDUÍNO                                                                                             ,363
304,B1600754000000  ,GABY ESTRELLA                                                                                       ,821
305,B1600756100000  ,A CIDADE DO FUTURO                                                                                  ,916
306,B1600757300000  ,TERRA DE LUZ                                                                                        ,478
307,B1600765300000  ,A OLIMPÍADA PASSOU POR AQUI                                                                         ,130
308,B1600765400000  ,DE MALA E CUIA                                                                                      ,520
309,B1600766600000  ,UM MARANHENSE CHAMADO JOSÉ RIBAMAR                                                                  ,437
310,B1600773300000  ,BR 3 - AMORES MIGRANTES                                                                             ,521
311,B1600775400000  ,PLANETORAMA                                                                                         ,112
312,B1600779300000  ,NÓIS POR NÓIS                                                                                       ,504
313,B1600784800000  ,SAIDEIRA                                                                                            ,431
314,B1600785000000  ,PRAZER EM RECEBER                                                                                   ,841
315,B1600793600000  ,AS BATALHAS DA FÉ                                                                                   ,517
316,B1700009500000  ,"LATITUDE, LONGITUDE                                                                                 ",295
317,B1700011400000  ,MAZAGÃO  PORTA DO MAR                                                                              ,462
318,B1700011500000  ,PEIXONAUTA: O FILME                                                                                 ,737
319,B1700011500000  ,PEIXONAUTA: O FILME                                                                                 ,34210
320,B1700011700000  ,MINO E NINA                                                                                         ,511
321,B1700012000000  ,A PROFESSORA DE MÚSICA                                                                              ,603
322,B1700012200000  ,LILA                                                                                                ,329
323,B1700013000000  ,CAFÉ COM CANELA                                                                                     ,619
324,B1700014400000  ,ACEITO FOLIA                                                                                        ,543
325,B1700014500000  ,TADINHA                                                                                             ,16
326,B1700027200000  ,ANIMACRIANÇA - LENDAS BRASILEIRAS                                                                   ,507
327,B1700028400000  ,LAS INESES                                                                                          ,805
328,B1700030900000  ,UM LUGAR PARA CHAMAR DE C. E. U.                                                                    ,505
329,B1700033800000  ,PASSADO DA HORA                                                                                     ,506
330,B1700036100000  ,HOMO BRASILIS                                                                                       ,439
331,B1700036400000  ,POLTRONA 27                                                                                         ,292
332,B1700037000000  ,FANÁTIC@S                                                                                           ,553
333,B1700045100000  ,"DOLORES - UMA MULHER, DOIS AMORES                                                                   ",738
334,B1700048200000  ,"MAUANI, O SILÊNCIO DE MARIA                                                                         ",464
335,B1700051600000  ,VAZANTE                                                                                             ,213004400
336,B1700052200000  ,O CRIME DA GÁVEA                                                                                    ,200
337,B1700052500000  ,GLEBA - CHÃO DE MARIAS                                                                              ,460
338,B1700053400000  ,ASTROBALDO                                                                                          ,625
339,B1700053600000  ,PLANTÃO DA IMAGINAÇÃO                                                                               ,463
340,B1700055500000  ,BRINCANDO COM A CIÊNCIA!                                                                            ,497
341,B1700065900000  ,ESTADOS DA ARTE                                                                                     ,351
342,B1700066800000  ,AMAZÔNIA POSTAL                                                                                     ,459
343,B1700070600000  ,O SENHOR DAS JORNADAS                                                                               ,719
344,B1700071900000  ,BELA CRIATIVA                                                                                       ,470
345,B1700077100000  ,LA VINGANÇA                                                                                         ,882
346,B1700079500000  ,171 - NEGÓCIO DE FAMÍLIA                                                                            ,359
347,B1700079500000  ,171 - NEGÓCIO DE FAMÍLIA                                                                            ,846
348,B1700082700000  ,A CARA DO MUNDO                                                                                     ,508
349,B1700083900000  ,AIKEWARA                                                                                            ,382
