,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
5063,41981,31.007.836/0001-41,MUNDOS DESENVOLVIMENTO LTDA,RIZHOMA - DESIGN & PERFORMANCE LIMITADA - ME,10.648.733/0001-90
5064,24911,18.342.224/0001-47,SUMACA PRODUCOES AUDIOVISUAIS E FOTOGRAFICAS LTDA ME,NOA PRODUÇÕES AUDIOVISUAIS E FOTOGRÁFICAS LTDA ME,21.822.430/0001-69
5065,28350,21.331.463/0001-06,RADIAL PRODUÇÕES,RAUL VEIGA DIAS ALVES,12.892.937/0001-06
5066,34864,25.194.120/0001-06,FIT PRODUÇÕES AUDIOVISUAL EIRELI,FIT PRODUÇÕES E EVENTOS LTDA,12.592.628/0001-02
5067,34716,19.208.393/0001-51,MURIQUI CULTURAL LTDA. - ME,CARINO PRODUÇÕES E COMERCIO DE LIVROS LTDA - ME,04.858.790/0001-00
5068,387,02.660.841/0001-50,BRASIL FILMES LTDA,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,31.887.052/0001-55
5069,585,04.063.325/0001-74,MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,31.887.052/0001-55
5070,26396,19.495.585/0001-96,"ASSOCIAÇÃO DE INTEGRAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE, CULTURA, ESPORTE E MEIO AMBIENTE",ASSOCIAÇÃO DE INTERAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE CULTURA E ESPORTE,17.212.870/0001-27
5071,11776,02.616.581/0001-16,GALPÃO PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA,INSTITUTO BRASIL DE CULTURA E ARTE - IBCA,11.474.955/0001-05
5072,31635,22.666.056/0001-12,SKYLAB FILMES LTDA ME,TRIADE PRODUTORA LTDA,14.473.800/0001-34
5073,44845,32.554.049/0001-82,A PIAZADA FILMES EIRELI,DIREÇÃO COLETIVA FILMES LTDA,18.474.101/0001-60
5074,18662,13.341.716/0001-02,LDD ENTRETENIMENTO LTDA,IRMAOS MEIRELLES FILMES LTDA,30.926.003/0001-11
5075,35488,11.743.564/0001-30,TV JANGADEIRO LTDA.,TV SOBRAL LTDA.,02.391.395/0001-26
5076,51390,46.401.439/0001-27,CLUBE FILMES LTDA,CINEMINHA PRODUCOES LTDA,13.840.055/0001-51
