,CPB,TITULO_ORIGINAL,NUMERO_SALIC
328,B0700758700000  ,JOGO DE CENA                                                                                        ,60073
329,B0700758700000  ,JOGO DE CENA                                                                                        ,69030
330,B0700758700000  ,JOGO DE CENA                                                                                        ,60198
331,B0700758900000  ,DESERTO FELIZ                                                                                       ,24059
332,B0700759000000  ,TROPA DE ELITE                                                                                      ,40238
333,B0700759900000  ,CHICO E AS CIDADES                                                                                  ,993534
334,B0700761400000  ,"MARÉ, NOSSA HISTÓRIA DE AMOR                                                                        ",50196
335,B0700761400000  ,"MARÉ, NOSSA HISTÓRIA DE AMOR                                                                        ",99057
336,B0700764700000  ,A OUTRA MARGEM                                                                                      ,59004
337,B0700766800000  ,O MAGNATA                                                                                           ,40257
338,B0700767100000  ,O DEMONINHO DE OLHOS PRETOS                                                                         ,23987
339,B0700773900000  ,DARCY RIBEIRO - O GUERREIRO SONHADOR                                                                ,40276
340,B0700777200000  ,ESTÔMAGO                                                                                            ,70420
341,B0700778100000  ,SEM CONTROLE                                                                                        ,30193
342,B0700787100000  ,PQD                                                                                                 ,30339
343,B0700790000000  ,ZÉ DO BRASIL                                                                                        ,60104
344,B0700798700000  ,XUXA EM SONHO DE MENINA                                                                             ,70253
345,B0700799500000  ,CONDOR                                                                                              ,13764
346,B0700799500000  ,CONDOR                                                                                              ,70462
347,B0700801600000  ,ONDE ANDARÁ DULCE VEIGA?                                                                            ,30065
348,B0700801600000  ,ONDE ANDARÁ DULCE VEIGA?                                                                            ,59008
349,B0700802200000  ,O SIGNO DA CIDADE                                                                                   ,14525
