,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
125,GNT HD,4727.30014,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
126,HBO,22428.30001,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",1994-07-01,PADRÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
127,HBO (EM HD),22428.30008,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2009-04-01,ALTA DEFINIÇÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
128,HBO FAMILY,22428.30004,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2005-05-04,PADRÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
129,HBO FAMILY (EM HD),22428.3001,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2013-06-18,ALTA DEFINIÇÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
130,HBO MUNDI,22429.30001,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",1997-10-01,PADRÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
131,HBO MUNDI HD,22429.30006,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2014-09-26,ALTA DEFINIÇÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
132,HBO PLUS,22428.30003,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2004-01-22,PADRÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
133,HBO PLUS (EM HD),22428.30011,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2013-06-18,ALTA DEFINIÇÃO,"BRASIL PROGRAMMING, L.L.C",16.810.008/0001-53,Programadora Estrangeira,ESTADOS UNIDOS
134,HBO POP,22429.30005,Canal de espaço qualificado,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2010-06-01,PADRÃO,"BRASIL PRODUCTIONS, L.L.C",16.840.199/0001-04,Programadora Estrangeira,ESTADOS UNIDOS
